Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
South Africa,ZAF,2022,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,943520170.443838
South Africa,ZAF,2021,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,827150685.679581
South Africa,ZAF,2020,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,711285343.91415
South Africa,ZAF,2019,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,691162294.937802
South Africa,ZAF,2018,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,638767210.358454
South Africa,ZAF,2017,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,635857133.949842
South Africa,ZAF,2016,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,559554954.838848
South Africa,ZAF,2015,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,549107783.659153
South Africa,ZAF,2014,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,557355602.600644
South Africa,ZAF,2013,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,605427828.173192
South Africa,ZAF,2012,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,570348034.485247
South Africa,ZAF,2011,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,544587081.130368
South Africa,ZAF,2010,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,465155263.70575
South Africa,ZAF,2009,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,348614805.48532
South Africa,ZAF,2008,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,337552710.416839
South Africa,ZAF,2007,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,349917312.597514
South Africa,ZAF,2006,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,391729207.565272
South Africa,ZAF,2005,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,323205808.112036
South Africa,ZAF,2004,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,264507830.271571
South Africa,ZAF,2003,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,193574297.253883
South Africa,ZAF,2002,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,131425798.668434
South Africa,ZAF,2001,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,131954383.127
